Museum Name ,Museum Group,Coverage,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,August 2023,September 2023,October 2023,November 2023,December 2023,January 2024,February 2024,March 2024,April 2024,May 2024,June 2024,July 2024,August 2024,September 2024,October 2024,November 2024,December 2024,January 2025,February 2025,March 2025,April 2025,May 2025,June 2025,July 2025,August 2025,September 2025,
SMG Science Museum,Science Museum Group,Museum site,237881,272074,285715,314861,230069,241065,354107,363721,196336,312781,254934,237844,258208,307588,88539,0,0,0,0,43223,52088,85601,7247,19664,0,0,0,10,42735,88638,124920,212863,98618,146608,120884,121947,117744,181652,138166,253860,166218,160428,237935,309876,135619,255410,167726,209174,202064,270554,225388,333166,197362,189725,335307,415028,145571,261565,184348,198484,201866,282902,257555,275709,237922,192201,302909,325195,137573,244922,170674,197814,194010,254714,198772,256579,206826,184332,294638,310303,123774,
SMG National Science and Media Museum ,Science Museum Group,Museum site,32560,49546,35009,36572,30497,29018,47193,51087,29462,42880,29745,26347,33188,50631,14790,0,0,0,0,938,2608,7534,403,0,0,0,0,0,3678,6268,9961,23481,7950,22875,8551,12597,10335,21335,12117,15724,13930,13507,14472,18476,10596,19003,12108,16244,15832,24509,12592,16477,11341,4466,2088,3117,1696,1427,0,0,74,367,251,185,154,280,290,684,1404,1214,918,1268,16797,32608,15000,19341,16737,12110,20803,27304,11025,
SMG National Railway Museum ,Science Museum Group,Museum site,40148,57824,51892,68999,56119,48814,66416,94972,55506,73100,51243,49346,47032,63025,23156,0,0,0,0,20036,27645,28445,1511,11587,0,0,0,0,17751,36808,45952,78261,42266,58010,30480,36785,30184,52238,32886,64636,42498,41107,52842,86606,38257,58485,32305,40533,27542,46310,33201,71335,38397,40424,69667,101669,46057,64813,48467,42526,43987,68336,57112,67184,58787,45413,69337,92830,46121,58803,40792,42108,36066,62852,41710,66653,53905,41023,64483,80974,45391,
SMG Locomotion,Science Museum Group,Museum site,5967,7659,9856,13746,18445,17326,23121,32138,13825,17296,13826,7492,9969,16009,5664,0,0,0,621,8266,3265,3560,185,0,0,0,0,0,3810,5929,7898,19193,4563,6166,4840,3117,3696,6997,3970,7357,6002,4886,6210,11857,5513,10198,7338,4376,5096,9320,8557,12698,6893,6451,10668,16381,6116,9139,8301,25501,17017,8766,4917,9732,14178,13153,19455,33820,9224,14251,12394,7579,9020,14388,12009,18049,15106,13869,18891,39308,29785,
SMG Science and Industry Museum,Science Museum Group,Museum site,35122,52192,42920,47519,44595,41630,64302,68135,39673,51834,35991,32441,37965,57540,17283,0,0,0,0,9739,9820,15046,920,0,0,0,0,0,9167,19493,26705,49241,21669,30290,16777,17161,19540,32398,19082,37839,25280,23963,32997,49682,22112,45581,21635,21969,26499,45518,26766,42901,25799,20682,46013,75347,22160,36608,23154,24391,28497,51521,32314,43419,32565,24422,32485,40189,15870,35647,18263,23256,23222,48732,28566,43362,34657,27766,42906,50690,19243,
SMG Science and Innovation Park,Science Museum Group,Museum site,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,162,111,71,19,95,557,258,25,32,145,170,317,329,374,176,522,292,
National Coal Mining Museum ,National Coal Mining Museum,Museum group,4974,7825,6276,12091,11080,8599,10431,20140,8126,8444,5903,6409,5324,8264,3742,0,0,0,0,1979,1426,1601,68,0,0,0,0,0,1023,2730,3932,9297,3788,4237,2780,2874,2395,3548,3583,4546,4667,6630,6736,14204,7164,4476,5091,4565,3510,7232,5559,10406,6218,7249,9493,17378,6389,5829,7810,5574,4717,7854,9466,8832,8456,8365,9823,16069,4830,6609,8136,5150,1848,5767,4494,10463,8258,8883,8102,11396,4837,
National Portrait Gallery ,National Portrait Gallery,Museum group,141398,114756,150079,125576,132760,121950,148599,161881,126589,147021,145061,119264,139991,119344,54396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2465,2078,0,0,0,0,0,0,0,0,0,588,3353,2503,0,0,0,0,0,76857,249726,210718,172836,152043,162509,137320,139845,126613,123533,112092,117810,109763,143978,151757,116317,151993,149839,137798,131525,127396,141264,124463,132356,115359,143371,147903,106026,
Royal Armouries Total,Royal Armouries,Museum group,113974,133477,195358,224296,180887,277108,226513,253030,210567,186902,142609,139228,121270,136286,81512,0,0,0,11952,33827,41852,26130,19012,4164,0,0,0,3008,21367,64934,65620,141347,75697,96812,59768,63391,37774,88479,96323,185377,119540,230047,198270,220082,160518,180017,114814,142580,101585,141860,166725,255892,190470,262582,229726,247295,191845,179129,131534,151819,99448,163131,220659,208950,198251,274982,219446,253330,197808,173133,148230,157969,111065,140944,190532,229950,214553,273933,245579,259210,220722,
Royal Armouries Leeds,Royal Armouries,Museum site,11258,16050,17287,22043,14530,21151,17622,24396,20036,18274,18866,13779,13880,27908,9568,0,0,0,0,0,2396,4821,2983,0,0,0,0,0,4115,12045,7996,25417,16101,15319,9495,12994,9434,19348,11993,27748,11522,22610,16001,29566,19979,22803,12640,17095,14577,28952,16996,35605,30952,27181,27005,42574,29660,19606,24663,19578,16312,41709,28686,29861,33176,35658,25027,46768,28805,22929,24469,17654,15412,35727,27441,43729,55580,33376,32206,42907,34182,
Royal Armouries Fort Nelson,Royal Armouries,Museum site,4615,6861,6595,10103,6598,8596,6994,15085,10393,6220,7721,4393,5049,7373,3667,0,0,0,0,3509,7023,3220,2152,547,0,0,0,3008,2974,5311,5830,14173,6969,6243,2677,3701,3129,5580,3630,9759,3932,7514,5286,11873,6322,12958,3878,6152,3870,7322,4664,14323,9761,15283,12253,18167,9067,11878,4513,6129,4409,8659,7633,11296,5737,11279,7104,15899,9046,5306,9052,10179,5341,8285,6172,14726,4886,9680,7712,16274,9155,
